Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,60.0,1.0,60.0,60.0,0.0,24.608000000000025,0.0,0.0,0.016309738159179688,,,,,,,,,,,,,,,,,,,,,8.661807073856442,7.5085396015114165,24.112403979548162,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,525.0,2.0,465.0,525.0,0.0,345.6070000000001,0.0,0.0,31.965590000152588,,,,,,,,,,,,,,,,,,,,,145.55115655419755,84.20633902704257,278.2039161184167,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,970.0,3.0,445.0,970.0,0.0,339.11499999999995,0.0,0.0,62.52525472640991,,,,,,,,,,,,,,,,,,,,,159.93441604706138,74.73126670065203,268.2123972563142,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,1157.0,4.0,187.0,1157.0,0.0,146.00499999999994,0.0,0.0,75.5486204624176,,,,,,,,,,,,,,,,,,,,,63.38383819967778,42.775691743097546,134.2865087654257,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,1621.0,5.0,464.0,1621.0,0.0,314.5000000000008,0.0,0.0,107.2699511051178,,,,,,,,,,,,,,,,,,,,,130.40676935083772,75.50509093772152,254.24550452573715,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,2095.0,6.0,474.0,2095.0,0.0,372.5,0.0,0.0,139.76934099197388,,,,,,,,,,,,,,,,,,,,,153.85167074770226,84.48666769985671,299.8741822478367,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,2558.0,7.0,463.0,2558.0,0.0,349.4200000000005,0.0,0.0,171.59860134124756,,,,,,,,,,,,,,,,,,,,,146.40148403837105,85.70595573807125,281.91803092115566,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,3035.0,8.0,477.0,3035.0,0.0,383.5,0.0,0.0,204.4604206085205,,,,,,,,,,,,,,,,,,,,,164.07181835350482,86.03574236567513,305.5432859313095,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,3487.0,9.0,452.0,3487.0,0.0,348.3170000000001,0.0,0.0,235.46247482299805,,,,,,,,,,,,,,,,,,,,,157.6510216406017,81.41400481582168,277.336074292741,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,3958.0,10.0,471.0,3958.0,0.0,359.39999999999986,0.0,0.0,267.8828101158142,,,,,,,,,,,,,,,,,,,,,158.32212237227353,83.1939022361444,285.11539575841743,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
